seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Kevin,Alexander,39,Izazu Road,Jebhifdam,AZ,39467,$3182.70,GREEN,12/26/1927
2,Georgia,Klein,55,Imzuc Lane,Poruja,HI,06075,$7315.11,BLUE,09/27/1925
3,Howard,Benson,32,Jisu Center,Jogiba,AR,25500,$3842.11,RED,08/16/1993
4,Edward,Romero,58,Metu Boulevard,Kagreltor,ME,23390,$1114.98,GREEN,11/17/2061
5,Roxie,Rice,50,Hipak Grove,Nonmuvis,VT,75074,$448.29,YELLOW,08/23/1998
6,Mina,Dawson,56,Zefla River,Wicira,KS,82837,$2557.03,GREEN,02/19/2054
7,Katherine,Douglas,53,Ubdal Circle,Muwudze,RI,96612,$3088.04,BLUE,03/13/1976
8,Alejandro,Burgess,37,Biva Path,Vifvactil,UT,09776,$8220.37,BLUE,02/27/2040
9,Clyde,Williams,21,Arogis Way,Nattuno,VA,10500,$3964.48,GREEN,09/26/1919
10,Elsie,Ferguson,44,Deigo Lane,Cometel,NY,47713,$2519.76,BLUE,01/15/2016
11,Hattie,McGuire,53,Dagugo Avenue,Suwarhi,DC,59495,$2570.75,GREEN,07/18/1927
12,Francis,Bell,26,Masaj Boulevard,Zutojked,TX,27760,$2136.18,WHITE,02/24/2066
13,Jason,Ferguson,41,Wunnel Mill,Poanku,MS,07212,$7195.20,YELLOW,10/15/1915
14,James,Ford,42,Uzri Lane,Mesvewnen,OH,84608,$4437.71,YELLOW,10/09/1974
15,Clayton,Walker,46,Wothi Terrace,Zuibiatu,IN,35383,$8338.65,GREEN,09/01/2055
16,Leon,Moss,49,Hopit Way,Jondosju,ME,59874,$9141.35,WHITE,04/09/1998
17,Tommy,Mitchell,25,Dumo Road,Bokocam,CT,23468,$3117.53,YELLOW,03/17/1955
18,Landon,Lee,22,Uzfo Loop,Kuwasisa,SC,18530,$5922.80,GREEN,06/20/2034
19,Nell,Richardson,49,Jonsan Mill,Suggapal,MI,05788,$8802.15,GREEN,11/24/1987
20,Gordon,Edwards,41,Voew Turnpike,Ekizjuw,NC,14222,$9588.04,GREEN,08/05/1917
21,Marie,Porter,46,Serme Circle,Vodboco,FL,85422,$2951.54,GREEN,11/03/1992
22,Essie,Rivera,59,Zoha Drive,Omurolcak,GA,22086,$8965.85,RED,07/16/1960
23,Bernice,Thompson,42,Caki Terrace,Ciojzo,MD,97860,$5744.85,WHITE,09/28/2023
24,Chris,McDonald,33,Ohup Drive,Pukzipo,NH,79119,$910.62,RED,10/26/1985
25,Mayme,Richardson,65,Tigri Glen,Umjuir,KY,92899,$904.27,WHITE,08/11/2020
26,Nicholas,McBride,56,Vicre Glen,Zavatid,WV,70990,$9648.07,RED,04/19/1943
27,Celia,Ortiz,22,Isini Park,Susizug,VT,41941,$1453.09,GREEN,03/18/1974
28,Della,Thornton,54,Ezase Loop,Figcefu,NJ,72548,$4359.61,BLUE,02/06/2042
29,Theodore,Stephens,20,Mobu Glen,Jokgamkeg,NJ,53847,$4241.87,BLUE,03/22/1927
30,Alfred,Price,21,Bati Circle,Mezehanos,TX,52559,$3779.43,RED,08/30/1978
31,George,Carter,57,Komel Junction,Hapovaw,DC,59231,$9134.18,GREEN,05/25/2034
32,Ray,Francis,55,Otzi Mill,Fupapogip,ND,93070,$6747.67,WHITE,01/24/1995
33,Louis,Greer,44,Umkig Square,Kozwuvel,RI,55426,$3397.15,RED,03/28/2065
34,Jim,Sparks,54,Jumku Park,Coewuvo,AL,82182,$8592.50,GREEN,08/18/1985
35,Charles,Torres,57,Gisus Heights,Bidsucbot,LA,23371,$1793.79,RED,08/10/2004
36,Carolyn,Reeves,61,Lotso Glen,Tarakmi,TX,36640,$7740.23,BLUE,11/22/2005
37,Richard,Cortez,29,Hitga Street,Ocdacot,WV,74984,$3877.11,WHITE,04/02/1966
38,Danny,Manning,48,Joliw Pike,Awagornis,SC,33900,$4091.51,WHITE,05/29/2050
39,Marion,Vaughn,21,Owepow Place,Wubmitdoc,KS,30290,$3016.43,BLUE,03/12/2050
40,Noah,Rose,29,Raruj Glen,Jupnotnut,NE,10673,$2589.16,RED,12/30/2021
41,Lena,Marshall,40,Kotra Terrace,Nohokpok,PA,46812,$10.88,RED,05/03/2006
42,Joshua,Rodgers,54,Diiw Trail,Natufew,TX,86671,$391.72,WHITE,06/19/1979
43,Virginia,Herrera,38,Etwes Road,Wanuvpeg,DC,97756,$6822.38,RED,09/21/1935
44,Inez,Lucas,65,Fuok River,Gaperob,NM,21097,$3821.65,GREEN,07/01/1948
45,Randall,Thompson,40,Sufge Way,Kumovi,AZ,61710,$9053.55,YELLOW,09/15/1923
46,Linnie,Massey,24,Useji Heights,Gegutlic,AZ,42805,$4356.71,BLUE,06/09/1980
47,Frances,Smith,21,Kibtug Circle,Topidno,ND,61887,$6805.25,WHITE,02/07/2002
48,Elmer,Curry,22,Ezufi Center,Hotahjaj,OH,34556,$5212.00,RED,08/10/1942
49,George,Harrison,57,Ziuv Extension,Nibsooja,MI,57269,$7102.95,WHITE,11/01/2061
50,Mathilda,McKenzie,28,Redbo Plaza,Docuwuw,AL,24282,$7396.92,RED,07/13/2010
51,Callie,Simmons,39,Lezuf Pass,Zevujocug,LA,90293,$8542.62,RED,06/04/1975
52,Myra,Harrison,60,Lispes Drive,Tiazpu,ID,02695,$7107.32,GREEN,08/17/1934
53,Isabella,Reed,58,Ojka Highway,Akdinuc,CA,65772,$2991.45,GREEN,06/08/1915
54,Antonio,Little,62,Nemu Path,Epajosrok,UT,16635,$8977.82,RED,12/12/2021
55,Douglas,Johnston,61,Lohabi River,Wevidaoza,VT,28829,$699.19,GREEN,10/15/2055
56,Daisy,Hamilton,45,Fano Loop,Viavate,WV,30171,$3052.59,RED,11/25/2060
57,Ola,King,23,Betbeh Center,Saepook,OH,09273,$4162.60,WHITE,06/11/1900
58,Brent,Miles,25,Doror Heights,Muosih,OK,20794,$4584.82,BLUE,04/08/1998
59,Caleb,Jenkins,45,Desaj Key,Henesop,SD,04921,$9425.66,WHITE,10/24/1916
60,Lilly,Fox,36,Ajvib Lane,Tacenmus,MN,17968,$4622.15,GREEN,01/10/2041
61,Calvin,Castro,57,Nohe Path,Kiwadzus,AK,18613,$6994.30,YELLOW,08/26/1929
62,Ellen,Keller,49,Cakum Key,Ehkimtup,DC,21646,$7917.69,BLUE,02/03/1969
63,Mathilda,Arnold,61,Ujefi Manor,Lefbofo,OR,45008,$321.14,YELLOW,07/22/1944
64,Essie,Castillo,42,Kezlud Path,Gokopu,SC,67267,$4555.69,RED,03/23/1970
65,Jonathan,Walters,19,Iwsew Pike,Lasontal,CO,74302,$9310.38,WHITE,10/30/2069
66,Ricky,Crawford,45,Zuji Trail,Wiruwow,NV,07954,$4775.86,BLUE,04/02/2068
67,Manuel,Johnson,38,Satzo River,Tajlujkak,LA,87217,$8465.46,YELLOW,03/08/1969
68,Ryan,Vargas,48,Ifaza Junction,Nemjibih,NJ,65444,$5342.09,WHITE,09/19/1925
69,Marguerite,Banks,55,Munur Highway,Wulizhi,TX,62070,$2282.65,BLUE,01/06/1917
70,Sam,Willis,26,Roza Square,Kuhudmip,SD,26799,$8849.04,RED,09/09/1933
71,Lelia,Parks,27,Suova Place,Zekhodbe,HI,87722,$5890.22,BLUE,06/15/1950
72,Edward,Williamson,45,Dumo Court,Jilornu,NE,76351,$9772.33,BLUE,09/30/1939
73,Virgie,Fitzgerald,53,Juavo Way,Wovtargun,FL,15843,$47.69,RED,07/20/2058
74,Carlos,Barrett,22,Nigci Circle,Tofsaima,VA,16284,$9737.77,GREEN,12/11/1946
75,Pearl,Newman,51,Catan Pass,Vodapub,MN,75249,$4473.03,GREEN,05/11/2011
76,Tony,Cain,56,Fuoj Square,Zehuru,AL,15225,$8893.18,RED,05/25/1980
77,Don,Hampton,46,Turla Way,Kuceseb,CT,31007,$7751.61,BLUE,10/25/2003
78,Ina,Garza,61,Uhada Lane,Fiwnecmu,NY,47747,$8275.03,BLUE,03/14/2024
79,Marian,Richardson,44,Fewod Road,Faebiaru,FL,96784,$9603.28,RED,01/17/1985
80,Alan,Webb,45,Alwe Terrace,Hefaru,ND,85340,$1144.97,WHITE,02/10/1988
81,Leo,Adams,20,Nacgi Circle,Rotjuoga,OR,90733,$66.48,RED,05/29/1964
82,Howard,Mills,22,Wobnon Mill,Fuhoslac,MI,34912,$7259.13,WHITE,10/13/2065
83,Marvin,Daniel,62,Iwagu River,Ezaboobe,WA,99598,$5783.21,BLUE,11/29/1974
84,Jesus,Tate,65,Zazu Ridge,Porigow,OR,41034,$3273.51,BLUE,05/17/1925
85,Randall,Hines,57,Neden Plaza,Miguzwa,GA,75102,$4137.54,YELLOW,05/20/2045
86,Birdie,Reynolds,32,Emade Heights,Hopeze,PA,71825,$6286.59,BLUE,03/07/2006
87,Alice,Washington,27,Lisdo Glen,Vazottov,VA,77348,$8471.68,GREEN,02/11/2029
88,Ella,Hodges,19,Inajak Boulevard,Hufkacros,OH,40570,$8250.12,BLUE,05/08/1972
