seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Hattie,Ward,45,Fube Plaza,Pojopji,OR,69528,$9612.65,BLUE,05/07/2047
2,Esther,Ross,46,Nozhu Pass,Defofpe,NJ,25695,$3566.06,GREEN,05/10/1906
3,Justin,Harvey,22,Tumiw Glen,Vocesbap,AZ,16268,$2510.78,RED,01/11/2024
4,Gerald,Cannon,24,Mokuk River,Acugerolo,AL,17779,$2962.78,BLUE,05/31/1983
5,Lillie,Norris,57,Opmo Ridge,Zogseveg,VT,55690,$4859.50,RED,12/17/1919
6,Maude,Ferguson,58,Guowo Pass,Nesnize,MA,22666,$4876.84,WHITE,05/20/1921
7,Jane,Williamson,61,Cacsom Manor,Tudgeizo,AZ,44922,$7447.28,YELLOW,06/29/2006
8,Lucille,Valdez,60,Ijha Mill,Hatdipiz,CT,52793,$2646.37,BLUE,03/13/2063
9,Robert,Stone,41,Tuju Square,Awisowun,KS,93290,$8760.64,YELLOW,03/01/1909
10,Alberta,Norris,60,Izbej Place,Tijanukit,NE,10479,$9103.75,BLUE,03/21/1996
11,Lucas,Ford,39,Tihza Boulevard,Icerzim,IN,75969,$5119.20,RED,08/02/2045
12,Mattie,Bishop,21,Kihu Street,Belovsa,ID,99319,$8695.44,WHITE,07/05/1910
13,Emma,Shaw,32,Bomu Turnpike,Tuubsic,AK,62780,$8576.06,YELLOW,11/12/2039
14,Connor,Lawrence,45,Cuhni Place,Zijnemi,NE,80331,$8739.32,BLUE,08/06/2017
15,Tillie,Little,19,Evlu Grove,Pomonmap,OR,61592,$220.51,GREEN,08/15/2011
16,Mamie,Munoz,33,Iziga Way,Namkouco,IL,48654,$3041.55,YELLOW,07/01/2064
17,Dorothy,Cortez,58,Ewevum Junction,Dufsirmu,GA,01192,$30.58,RED,05/20/1972
18,Mina,Mitchell,33,Lotkev Junction,Ditisas,OK,05790,$8304.13,YELLOW,10/31/2067
19,Jorge,Andrews,56,Ifuuku Street,Hotejo,IL,67177,$5525.09,WHITE,05/10/2048
20,Jesus,Andrews,42,Vemur Glen,Gamone,AR,84106,$2855.35,BLUE,09/29/1953
21,Dean,Bryant,64,Wise Center,Jiaridi,ND,60944,$4250.00,GREEN,02/17/2023
